Flat Size,Location,Builder's Rating,Area Type,Neighborhood Tier,Crime Rate,Floor Number,Age of Property,Nearby Amenities,Green Cover,Market Demand,Security Features,RERA-Approved,Urban Integration Index,Flat Price (in Lakhs)
2BHK,Mumbai,D,Residential,Affordable,Medium,18,8,Medium,0.67,1.49,Premium,0,0.54,147.81
1BHK,Bangalore,C,Commercial,High-End,Medium,16,32,Medium,0.25,1.32,Basic,0,0.34,174.59
1BHK,Bangalore,C,Residential,Affordable,Low,1,27,Medium,0.17,1.49,Premium,1,0.51,72.91
2BHK,Delhi,C,Residential,Affordable,Low,4,32,Medium,0.3,1.46,Basic,1,0.81,124.62
3BHK,Kolkata,D,Residential,Affordable,High,18,2,Low,0.64,1.45,Advanced,1,0.28,96.06
2BHK,Mumbai,A,Commercial,Affordable,Medium,13,22,Medium,0.63,0.94,Basic,1,0.65,176.4
2BHK,Hyderabad,C,Commercial,Mid-Range,Medium,4,17,Low,0.89,1.19,Basic,1,0.87,158.16
3BHK,Hyderabad,D,Commercial,Affordable,Medium,3,45,Medium,0.32,0.94,Basic,1,0.37,102.92
1BHK,Delhi,B,Residential,Mid-Range,Low,10,15,High,0.12,1.28,Premium,1,0.68,123.36
2BHK,Mumbai,C,Commercial,Mid-Range,Medium,3,19,Medium,0.21,1.03,Advanced,0,0.27,171.03
1BHK,Delhi,D,Commercial,Affordable,Medium,10,18,Low,0.41,1.39,Advanced,1,0.4,89.21
3BHK,Hyderabad,C,Residential,Affordable,Low,17,8,Medium,0.2,0.83,Premium,1,0.59,81.22
2BHK,Chennai,A,Residential,Mid-Range,Low,16,21,Low,0.59,1.39,Premium,1,0.8,186.06
2BHK,Mumbai,D,Commercial,Mid-Range,Medium,7,4,High,0.4,1.42,Basic,0,0.63,235.29
2BHK,Delhi,D,Residential,Mid-Range,Medium,19,13,Medium,0.37,0.89,Premium,1,0.71,102.28
2BHK,Mumbai,D,Residential,High-End,Low,20,41,Low,0.55,1.5,Basic,1,0.47,272.66
2BHK,Kolkata,D,Commercial,High-End,Medium,9,33,Medium,0.56,1.23,Premium,0,0.86,133.86
3BHK,Delhi,D,Residential,Affordable,Medium,13,22,Medium,0.83,1.18,Premium,0,0.61,145.23
3BHK,Hyderabad,B,Industrial,Affordable,High,19,42,Low,0.57,1.45,Premium,1,0.77,140.83
2BHK,Mumbai,C,Residential,High-End,Medium,12,19,Medium,0.87,1.11,Basic,1,0.26,276.82
2BHK,Bangalore,B,Residential,High-End,Medium,17,41,Medium,0.25,1.33,Basic,1,0.48,239.24
2BHK,Bangalore,D,Residential,Affordable,Medium,12,33,Low,0.27,1.3,Premium,0,0.78,97.2
1BHK,Bangalore,B,Industrial,Mid-Range,Medium,16,4,Medium,0.13,1.0,Basic,1,0.6,71.36
3BHK,Hyderabad,D,Residential,Mid-Range,Low,3,44,High,0.84,1.41,Basic,1,0.78,193.65
2BHK,Mumbai,B,Residential,Mid-Range,Medium,16,48,Medium,0.77,1.29,Premium,0,0.6,264.3
2BHK,Bangalore,C,Residential,Mid-Range,Medium,20,3,High,0.83,1.27,Basic,1,0.46,154.35
2BHK,Kolkata,A,Residential,High-End,Low,11,38,Medium,0.2,1.19,Premium,1,0.65,183.81
1BHK,Chennai,C,Commercial,Affordable,Low,13,39,Medium,0.52,1.18,Basic,1,0.52,58.6
3BHK,Hyderabad,A,Residential,Affordable,Medium,4,7,Medium,0.11,1.16,Advanced,1,0.49,157.52
3BHK,Bangalore,B,Commercial,Affordable,Low,10,20,Medium,0.55,1.35,Advanced,0,0.69,249.48
4BHK,Bangalore,A,Commercial,High-End,Low,5,16,High,0.31,1.13,Basic,1,0.24,616.04
3BHK,Delhi,B,Industrial,Mid-Range,Medium,14,23,Low,0.51,1.4,Basic,1,0.68,263.42
1BHK,Chennai,B,Residential,Mid-Range,High,20,14,Medium,0.49,1.26,Basic,1,0.59,93.58
1BHK,Delhi,B,Commercial,Affordable,Medium,11,31,Low,0.7,0.97,Premium,1,0.82,88.72
2BHK,Hyderabad,C,Commercial,Affordable,Low,16,31,Medium,0.23,0.89,Basic,0,0.65,82.52
2BHK,Delhi,A,Residential,Affordable,High,17,28,Medium,0.83,1.22,Basic,1,0.37,187.77
1BHK,Delhi,D,Commercial,Affordable,Medium,10,12,Medium,0.57,1.36,Premium,0,0.45,97.79
3BHK,Chennai,C,Residential,High-End,Medium,6,13,Medium,0.1,0.97,Basic,1,0.48,156.81
3BHK,Hyderabad,D,Commercial,Mid-Range,Low,17,25,Medium,0.15,0.87,Advanced,1,0.48,110.02
3BHK,Chennai,B,Commercial,High-End,Medium,12,12,High,0.6,0.83,Advanced,1,0.63,221.88
3BHK,Hyderabad,D,Residential,Mid-Range,Medium,18,47,Medium,0.36,0.87,Basic,1,0.61,116.59
1BHK,Kolkata,B,Residential,Affordable,High,4,17,Medium,0.86,0.81,Basic,1,0.61,39.18
1BHK,Mumbai,C,Residential,Mid-Range,Medium,11,37,Medium,0.89,1.2,Premium,1,0.48,123.74
3BHK,Kolkata,C,Residential,High-End,Medium,18,47,Medium,0.77,1.2,Basic,1,0.5,182.87
2BHK,Bangalore,C,Residential,Affordable,Low,6,45,Medium,0.81,1.22,Advanced,0,0.29,123.94
2BHK,Chennai,C,Residential,Affordable,High,18,20,Medium,0.39,1.42,Advanced,1,0.44,97.68
2BHK,Mumbai,C,Residential,Affordable,High,17,36,High,0.43,1.45,Basic,0,0.85,154.98
2BHK,Hyderabad,D,Residential,Mid-Range,Low,16,21,Low,0.64,1.39,Advanced,1,0.62,142.42
3BHK,Hyderabad,C,Residential,Mid-Range,Medium,18,41,High,0.48,1.36,Advanced,0,0.52,182.56
1BHK,Chennai,B,Industrial,Mid-Range,Low,11,6,Medium,0.55,0.98,Premium,1,0.31,65.69
2BHK,Chennai,D,Commercial,Affordable,Medium,5,3,High,0.68,1.34,Basic,1,0.31,98.53
1BHK,Bangalore,D,Residential,Mid-Range,High,15,32,Medium,0.46,1.08,Basic,1,0.49,86.48
3BHK,Kolkata,C,Residential,High-End,Medium,18,22,High,0.67,0.99,Basic,1,0.42,146.28
4BHK,Mumbai,B,Residential,Mid-Range,Medium,14,27,High,0.72,0.91,Advanced,1,0.57,383.77
3BHK,Kolkata,D,Residential,Mid-Range,Low,6,8,Medium,0.77,0.97,Basic,1,0.86,90.61
2BHK,Kolkata,C,Residential,Mid-Range,Medium,11,32,Medium,0.67,0.95,Advanced,1,0.52,82.35
3BHK,Hyderabad,B,Residential,Mid-Range,Medium,5,11,Low,0.45,0.82,Premium,0,0.81,135.46
4BHK,Chennai,B,Residential,Mid-Range,Medium,18,32,Medium,0.17,1.34,Basic,0,0.87,272.09
4BHK,Bangalore,C,Residential,Mid-Range,High,4,8,High,0.59,0.86,Basic,1,0.81,236.35
4BHK,Delhi,C,Residential,Affordable,Medium,10,37,Medium,0.12,1.0,Basic,1,0.34,174.41
3BHK,Hyderabad,B,Residential,High-End,Medium,19,41,Low,0.33,1.28,Basic,1,0.52,278.66
1BHK,Bangalore,D,Residential,Affordable,Low,4,26,Low,0.32,0.95,Premium,1,0.37,47.41
4BHK,Delhi,A,Residential,Affordable,High,4,2,Medium,0.73,1.05,Advanced,1,0.81,337.92
3BHK,Chennai,A,Residential,Mid-Range,Low,11,12,High,0.63,1.4,Basic,1,0.46,273.56
4BHK,Bangalore,D,Residential,Affordable,Medium,2,27,Medium,0.86,1.27,Basic,1,0.44,204.4
2BHK,Chennai,B,Residential,Affordable,Medium,8,8,Medium,0.89,1.32,Basic,1,0.5,104.96
1BHK,Delhi,D,Residential,High-End,Medium,17,19,High,0.7,1.02,Advanced,1,0.57,128.98
2BHK,Delhi,C,Commercial,Affordable,Medium,17,30,Medium,0.56,0.99,Basic,0,0.65,124.57
3BHK,Delhi,C,Residential,Mid-Range,Low,12,47,Medium,0.13,0.8,Advanced,0,0.64,131.37
3BHK,Kolkata,B,Residential,High-End,Medium,18,30,Medium,0.36,1.09,Basic,1,0.67,185.19
1BHK,Kolkata,B,Residential,Affordable,Medium,9,22,Low,0.8,1.24,Advanced,1,0.27,64.3
1BHK,Mumbai,C,Commercial,Affordable,Low,12,20,High,0.83,0.9,Basic,1,0.79,82.76
3BHK,Hyderabad,B,Commercial,Affordable,Medium,11,39,Low,0.68,1.21,Basic,0,0.28,169.98
3BHK,Chennai,D,Commercial,Mid-Range,Low,10,28,Medium,0.6,1.34,Basic,1,0.71,193.9
1BHK,Kolkata,C,Residential,Affordable,Medium,10,21,Low,0.14,0.82,Basic,1,0.83,28.41
3BHK,Mumbai,D,Commercial,Affordable,High,3,28,Low,0.26,1.17,Basic,1,0.5,178.89
3BHK,Delhi,D,Commercial,High-End,Low,19,37,Medium,0.15,0.95,Advanced,1,0.85,259.9
2BHK,Mumbai,C,Commercial,Mid-Range,High,9,38,High,0.33,0.98,Basic,0,0.49,171.75
2BHK,Chennai,D,Commercial,Mid-Range,Medium,15,7,Medium,0.19,0.93,Advanced,0,0.29,93.16
2BHK,Delhi,C,Commercial,Mid-Range,High,13,44,Low,0.33,0.99,Premium,1,0.63,166.55
2BHK,Hyderabad,C,Commercial,Affordable,Low,9,13,Low,0.87,1.3,Basic,1,0.66,133.16
2BHK,Kolkata,D,Commercial,Affordable,Low,20,15,Low,0.59,1.33,Advanced,0,0.89,76.25
4BHK,Chennai,B,Residential,Mid-Range,Medium,4,36,Medium,0.35,1.22,Basic,0,0.72,275.67
2BHK,Mumbai,C,Commercial,Affordable,Medium,11,8,Medium,0.7,0.92,Basic,1,0.38,114.23
1BHK,Chennai,C,Residential,Affordable,High,10,8,Medium,0.41,0.87,Basic,0,0.85,38.11
2BHK,Chennai,B,Commercial,Mid-Range,Medium,8,25,Medium,0.87,1.16,Basic,1,0.86,167.02
2BHK,Kolkata,C,Residential,High-End,High,13,42,Low,0.22,1.15,Premium,0,0.76,118.44
3BHK,Delhi,D,Residential,Affordable,Medium,8,29,Medium,0.26,1.09,Premium,1,0.85,119.66
2BHK,Chennai,B,Residential,Affordable,Medium,6,41,High,0.49,1.48,Premium,1,0.62,110.67
4BHK,Kolkata,D,Residential,High-End,Medium,5,45,Medium,0.77,0.8,Advanced,0,0.47,162.64
2BHK,Chennai,C,Residential,Mid-Range,Low,4,45,Medium,0.7,1.19,Basic,1,0.9,113.78
3BHK,Chennai,A,Residential,Mid-Range,Low,18,46,Medium,0.78,1.17,Premium,1,0.79,211.88
3BHK,Delhi,D,Commercial,Mid-Range,Low,5,15,Medium,0.84,1.11,Advanced,1,0.62,254.99
3BHK,Kolkata,C,Commercial,Mid-Range,Medium,2,28,Low,0.54,1.41,Basic,1,0.47,159.63
3BHK,Bangalore,B,Residential,High-End,High,11,14,Medium,0.76,1.13,Advanced,1,0.84,317.66
2BHK,Delhi,B,Residential,Mid-Range,High,7,10,Low,0.4,0.93,Basic,0,0.46,156.13
2BHK,Delhi,B,Residential,High-End,Medium,5,16,High,0.72,1.04,Basic,0,0.69,252.63
2BHK,Delhi,C,Residential,Affordable,Medium,3,30,Medium,0.5,1.22,Advanced,1,0.23,118.01
3BHK,Delhi,A,Residential,Affordable,Medium,12,29,Low,0.32,1.34,Premium,1,0.63,229.36
3BHK,Chennai,C,Residential,Mid-Range,High,20,10,Low,0.35,1.0,Basic,0,0.36,123.33
2BHK,Kolkata,C,Residential,Mid-Range,Medium,7,36,Medium,0.41,1.36,Advanced,1,0.47,102.4
2BHK,Bangalore,C,Residential,Affordable,Medium,2,23,Medium,0.51,0.81,Basic,1,0.85,73.25
3BHK,Hyderabad,C,Residential,Mid-Range,Medium,14,1,High,0.32,1.15,Basic,1,0.28,145.81
2BHK,Delhi,C,Residential,Mid-Range,Medium,3,33,Low,0.79,1.38,Basic,0,0.23,197.06
2BHK,Chennai,D,Residential,Mid-Range,Medium,13,17,Low,0.8,1.12,Premium,1,0.86,90.65
3BHK,Chennai,C,Residential,Affordable,Low,1,24,Medium,0.68,1.2,Basic,1,0.65,111.26
3BHK,Chennai,C,Residential,Mid-Range,Medium,19,24,Low,0.14,1.24,Advanced,0,0.38,150.71
4BHK,Delhi,A,Residential,High-End,Low,2,7,Medium,0.65,0.88,Advanced,0,0.42,468.84
2BHK,Delhi,C,Industrial,Mid-Range,Medium,11,4,Low,0.21,1.1,Basic,0,0.54,104.01
3BHK,Bangalore,B,Residential,Mid-Range,Low,2,22,Low,0.11,0.85,Advanced,1,0.52,150.22
3BHK,Bangalore,B,Commercial,Affordable,Medium,20,33,Medium,0.51,1.12,Basic,0,0.67,195.97
4BHK,Bangalore,D,Residential,High-End,Medium,11,48,Low,0.63,1.23,Basic,1,0.28,386.16
2BHK,Kolkata,B,Residential,Mid-Range,Low,12,47,High,0.25,1.4,Premium,0,0.38,118.13
1BHK,Mumbai,C,Commercial,Mid-Range,Medium,19,41,High,0.66,1.5,Basic,0,0.58,192.76
4BHK,Kolkata,B,Commercial,High-End,High,13,4,Medium,0.21,1.26,Premium,0,0.85,356.42
2BHK,Mumbai,C,Residential,Mid-Range,Low,12,8,Medium,0.12,1.48,Basic,1,0.41,206.46
2BHK,Bangalore,C,Residential,Mid-Range,High,2,46,High,0.62,1.4,Premium,0,0.35,192.92
1BHK,Bangalore,B,Industrial,Affordable,Medium,20,21,Medium,0.9,1.05,Premium,1,0.8,64.54
4BHK,Delhi,A,Commercial,Mid-Range,High,17,22,Medium,0.47,0.91,Basic,1,0.74,447.27
2BHK,Hyderabad,D,Residential,High-End,Low,7,27,Medium,0.87,1.45,Basic,1,0.51,209.6
2BHK,Hyderabad,C,Commercial,Mid-Range,High,16,32,Low,0.15,1.04,Basic,1,0.42,118.02
2BHK,Bangalore,C,Residential,Affordable,High,17,12,High,0.59,1.19,Basic,1,0.43,106.69
4BHK,Hyderabad,B,Residential,Affordable,Low,10,48,Medium,0.46,1.21,Basic,1,0.85,228.29
2BHK,Delhi,B,Residential,Mid-Range,Low,8,1,High,0.48,1.48,Basic,1,0.32,257.87
1BHK,Mumbai,D,Residential,Mid-Range,Low,1,2,Medium,0.74,0.93,Advanced,1,0.81,95.75
2BHK,Bangalore,D,Residential,Mid-Range,Medium,18,26,Medium,0.62,0.88,Basic,1,0.83,109.36
1BHK,Mumbai,C,Residential,High-End,Medium,17,41,Medium,0.19,0.84,Premium,1,0.74,103.28
1BHK,Bangalore,C,Commercial,Mid-Range,Medium,17,50,Medium,0.31,1.23,Basic,1,0.44,107.27
3BHK,Chennai,C,Commercial,Affordable,Low,15,46,Medium,0.29,1.38,Premium,1,0.37,135.33
3BHK,Kolkata,C,Residential,High-End,Medium,6,24,Medium,0.17,0.85,Premium,0,0.26,104.2
3BHK,Hyderabad,C,Residential,Affordable,Medium,6,12,Medium,0.1,1.4,Advanced,1,0.56,121.28
2BHK,Mumbai,C,Residential,Affordable,High,2,39,High,0.62,0.98,Basic,1,0.7,101.97
1BHK,Hyderabad,B,Residential,Affordable,Medium,18,11,Medium,0.31,0.99,Basic,1,0.36,63.26
1BHK,Kolkata,D,Commercial,Affordable,Medium,7,3,Medium,0.56,1.18,Basic,1,0.82,49.51
2BHK,Delhi,A,Industrial,Affordable,Low,20,35,Low,0.74,1.23,Basic,1,0.28,160.45
1BHK,Hyderabad,A,Commercial,High-End,Medium,10,7,High,0.15,1.18,Basic,1,0.3,177.48
3BHK,Kolkata,A,Commercial,Affordable,Low,3,1,Medium,0.16,0.93,Basic,1,0.58,96.88
4BHK,Mumbai,A,Commercial,High-End,Low,2,38,Medium,0.61,1.32,Advanced,0,0.86,1038.38
4BHK,Bangalore,D,Industrial,High-End,Medium,5,49,High,0.25,0.84,Basic,0,0.38,192.39
2BHK,Mumbai,D,Commercial,High-End,Medium,7,29,High,0.84,1.02,Premium,1,0.23,259.81
1BHK,Mumbai,B,Residential,Mid-Range,Medium,2,33,Medium,0.3,1.3,Advanced,0,0.25,147.03
2BHK,Bangalore,B,Residential,High-End,Low,14,41,High,0.57,1.24,Basic,1,0.35,249.91
2BHK,Bangalore,C,Residential,Mid-Range,High,7,22,Medium,0.24,1.07,Premium,1,0.89,123.82
2BHK,Hyderabad,D,Commercial,Mid-Range,Low,12,46,Low,0.12,1.13,Premium,1,0.68,116.4
2BHK,Mumbai,B,Industrial,Mid-Range,Medium,14,49,Low,0.43,0.88,Advanced,1,0.66,123.77
4BHK,Kolkata,C,Commercial,Mid-Range,Medium,11,44,Low,0.51,0.89,Basic,0,0.3,168.84
2BHK,Bangalore,C,Residential,Mid-Range,Medium,14,17,Low,0.27,0.82,Basic,0,0.66,93.66
2BHK,Bangalore,B,Residential,Mid-Range,High,11,9,Medium,0.36,1.44,Premium,1,0.36,193.93
3BHK,Hyderabad,D,Residential,Mid-Range,Medium,12,4,Medium,0.35,0.9,Advanced,0,0.29,107.23
1BHK,Bangalore,C,Industrial,Mid-Range,Medium,14,31,Low,0.3,1.41,Basic,0,0.57,89.88
4BHK,Bangalore,A,Residential,Mid-Range,High,17,34,High,0.56,1.42,Advanced,1,0.83,506.01
2BHK,Delhi,B,Residential,Affordable,High,12,33,Medium,0.49,1.24,Basic,1,0.77,154.88
3BHK,Delhi,C,Commercial,Mid-Range,Low,13,7,Medium,0.5,1.12,Premium,1,0.66,262.44
2BHK,Chennai,D,Residential,High-End,Medium,11,1,High,0.48,1.0,Advanced,1,0.35,113.92
3BHK,Hyderabad,D,Industrial,Mid-Range,Medium,13,31,High,0.34,1.3,Basic,1,0.48,124.34
2BHK,Chennai,C,Residential,Affordable,High,3,38,Medium,0.23,1.08,Basic,1,0.8,63.23
2BHK,Bangalore,C,Residential,Mid-Range,High,19,35,Medium,0.42,1.3,Basic,0,0.68,161.73
1BHK,Chennai,B,Residential,High-End,Medium,8,4,Medium,0.23,1.44,Premium,1,0.77,140.1
1BHK,Hyderabad,B,Residential,Mid-Range,Medium,10,19,High,0.14,1.15,Basic,1,0.49,93.74
2BHK,Bangalore,A,Industrial,Affordable,Low,12,44,Low,0.61,0.84,Basic,0,0.86,81.53
1BHK,Delhi,D,Residential,Mid-Range,Medium,7,39,High,0.31,1.15,Basic,1,0.46,83.54
1BHK,Delhi,A,Residential,Affordable,Medium,14,19,Medium,0.31,1.13,Basic,0,0.36,96.07
2BHK,Hyderabad,D,Residential,Mid-Range,Low,14,41,Low,0.15,1.17,Basic,1,0.39,95.37
2BHK,Chennai,C,Residential,Affordable,Medium,3,33,High,0.61,0.89,Basic,1,0.72,54.42
3BHK,Delhi,B,Residential,Mid-Range,Medium,2,45,High,0.83,1.11,Premium,0,0.65,260.56
2BHK,Bangalore,D,Commercial,Mid-Range,Low,14,45,Low,0.23,1.34,Premium,0,0.77,174.33
2BHK,Kolkata,B,Residential,Affordable,Medium,19,40,Low,0.53,1.23,Premium,1,0.87,81.66
3BHK,Mumbai,C,Residential,Mid-Range,Medium,12,32,Low,0.71,1.24,Advanced,0,0.41,251.4
3BHK,Mumbai,C,Commercial,High-End,Medium,20,17,Medium,0.44,1.27,Advanced,0,0.79,455.53
3BHK,Hyderabad,B,Residential,Mid-Range,Medium,20,12,Low,0.55,0.96,Basic,1,0.35,180.27
2BHK,Kolkata,B,Residential,Mid-Range,Medium,19,42,Medium,0.88,1.17,Premium,1,0.56,113.0
2BHK,Chennai,B,Residential,Mid-Range,Low,2,17,Medium,0.13,1.01,Basic,1,0.34,98.73
2BHK,Chennai,C,Residential,Affordable,Medium,12,50,Medium,0.11,1.34,Basic,0,0.65,79.24
4BHK,Hyderabad,C,Residential,Affordable,Low,10,43,High,0.66,0.97,Basic,1,0.81,150.49
3BHK,Hyderabad,B,Residential,Affordable,Medium,10,3,Low,0.21,0.94,Advanced,1,0.73,100.56
2BHK,Hyderabad,B,Residential,High-End,Medium,19,19,Medium,0.21,1.12,Basic,1,0.37,184.12
2BHK,Hyderabad,A,Residential,Affordable,Medium,11,16,Medium,0.66,0.87,Advanced,1,0.73,100.93
2BHK,Kolkata,D,Residential,Affordable,High,19,36,High,0.34,0.84,Premium,1,0.8,42.07
3BHK,Hyderabad,C,Residential,Affordable,Low,5,22,High,0.66,1.26,Basic,1,0.25,133.44
3BHK,Bangalore,B,Residential,Affordable,High,8,31,Medium,0.26,1.23,Basic,1,0.37,170.43
4BHK,Kolkata,B,Commercial,Mid-Range,Medium,6,26,Medium,0.77,1.31,Advanced,1,0.22,288.33
2BHK,Chennai,A,Commercial,Affordable,High,3,9,Medium,0.68,1.13,Basic,1,0.25,136.89
2BHK,Chennai,C,Residential,Affordable,Medium,10,6,High,0.85,1.32,Basic,1,0.57,89.93
1BHK,Chennai,A,Residential,Affordable,Medium,20,46,Low,0.25,0.86,Basic,1,0.35,50.17
2BHK,Delhi,B,Commercial,Mid-Range,High,8,13,Medium,0.88,1.26,Advanced,1,0.33,288.88
2BHK,Kolkata,C,Commercial,High-End,Medium,5,23,Low,0.64,0.81,Advanced,1,0.77,118.06
4BHK,Mumbai,C,Residential,Mid-Range,Medium,4,8,Low,0.65,1.42,Basic,0,0.79,424.24
2BHK,Hyderabad,D,Commercial,Mid-Range,Medium,2,18,Low,0.16,1.31,Basic,1,0.62,143.5
2BHK,Chennai,B,Commercial,Mid-Range,Medium,15,33,Low,0.35,1.08,Basic,1,0.79,138.18
1BHK,Hyderabad,B,Industrial,Mid-Range,Medium,19,19,High,0.45,1.49,Advanced,0,0.74,105.03
2BHK,Chennai,C,Residential,Affordable,Medium,1,10,Medium,0.44,0.8,Basic,1,0.28,49.03
1BHK,Kolkata,C,Commercial,Affordable,High,4,7,Medium,0.73,1.11,Basic,1,0.65,52.41
2BHK,Kolkata,C,Residential,Affordable,Low,11,46,High,0.45,0.86,Basic,1,0.66,45.65
3BHK,Delhi,B,Residential,Affordable,Low,16,14,High,0.41,1.5,Premium,1,0.8,217.57
2BHK,Mumbai,C,Commercial,Mid-Range,Low,19,46,Medium,0.82,1.16,Premium,1,0.68,245.72
1BHK,Bangalore,C,Residential,Affordable,Medium,16,10,Medium,0.13,1.39,Basic,1,0.72,69.02
1BHK,Bangalore,C,Residential,High-End,Low,16,41,Medium,0.77,0.84,Basic,1,0.85,106.75
4BHK,Chennai,B,Commercial,Mid-Range,Medium,4,4,Low,0.81,1.19,Advanced,0,0.51,368.18
2BHK,Bangalore,C,Industrial,High-End,Low,15,23,High,0.59,1.33,Basic,1,0.72,192.51
2BHK,Kolkata,D,Residential,Mid-Range,Medium,20,24,Low,0.38,1.1,Basic,0,0.5,68.21
1BHK,Bangalore,B,Commercial,Affordable,Medium,3,11,Medium,0.36,0.97,Advanced,1,0.46,81.5
1BHK,Bangalore,D,Residential,Mid-Range,Low,17,45,Medium,0.3,1.18,Advanced,1,0.88,77.42
2BHK,Delhi,D,Commercial,Mid-Range,Medium,1,7,Medium,0.24,1.3,Basic,1,0.22,192.66
1BHK,Mumbai,B,Residential,Mid-Range,Medium,13,39,Medium,0.22,1.47,Advanced,1,0.22,163.12
2BHK,Kolkata,A,Residential,Affordable,Medium,3,5,Medium,0.32,1.03,Basic,1,0.46,78.39
3BHK,Mumbai,B,Industrial,High-End,Medium,12,5,Medium,0.58,1.33,Basic,1,0.88,403.4
2BHK,Mumbai,D,Industrial,Affordable,Low,6,35,Medium,0.62,1.31,Basic,0,0.27,94.07
3BHK,Mumbai,B,Commercial,Affordable,Medium,19,49,Low,0.83,1.3,Basic,1,0.51,282.16
2BHK,Hyderabad,C,Residential,Affordable,Low,12,14,High,0.56,0.99,Basic,1,0.72,78.01
2BHK,Kolkata,B,Residential,Mid-Range,High,12,45,Medium,0.38,1.05,Basic,0,0.22,100.85
3BHK,Hyderabad,B,Residential,Mid-Range,Medium,18,14,Medium,0.18,0.9,Premium,1,0.3,156.62
3BHK,Bangalore,C,Residential,Mid-Range,Medium,1,35,High,0.25,0.93,Premium,0,0.88,141.92
3BHK,Bangalore,C,Residential,High-End,Medium,19,10,High,0.29,1.46,Basic,1,0.5,330.85
4BHK,Bangalore,B,Residential,Affordable,Medium,9,17,Low,0.85,1.18,Basic,1,0.61,261.46
2BHK,Mumbai,C,Residential,Mid-Range,High,8,48,Medium,0.19,0.84,Basic,1,0.55,118.32
2BHK,Hyderabad,C,Residential,Affordable,Medium,14,32,Medium,0.49,1.08,Advanced,1,0.73,84.29
2BHK,Kolkata,B,Residential,Affordable,Low,12,47,Medium,0.25,1.23,Premium,1,0.48,82.5
2BHK,Kolkata,D,Commercial,Affordable,High,13,42,Low,0.44,0.92,Advanced,1,0.46,51.65
2BHK,Delhi,C,Residential,Affordable,Medium,18,14,Medium,0.54,1.01,Premium,1,0.32,107.39
1BHK,Bangalore,B,Residential,Affordable,Low,4,19,High,0.15,1.41,Advanced,1,0.45,86.04
4BHK,Hyderabad,C,Industrial,High-End,Low,8,45,Low,0.74,0.95,Advanced,1,0.63,245.59
2BHK,Hyderabad,B,Industrial,High-End,Low,2,31,Low,0.59,1.1,Advanced,1,0.55,152.88
3BHK,Chennai,A,Residential,Affordable,Low,12,4,Medium,0.25,0.9,Basic,1,0.68,102.12
3BHK,Hyderabad,C,Residential,High-End,Medium,7,2,Low,0.11,1.0,Advanced,1,0.36,198.49
3BHK,Hyderabad,C,Residential,Affordable,High,8,43,Medium,0.75,1.21,Advanced,1,0.77,134.8
1BHK,Bangalore,C,Residential,High-End,Medium,16,5,High,0.22,1.19,Premium,1,0.28,126.83
2BHK,Delhi,C,Residential,High-End,Medium,10,6,Medium,0.4,1.2,Basic,1,0.85,232.2
2BHK,Delhi,B,Residential,High-End,High,15,26,High,0.36,1.47,Advanced,0,0.33,327.34
3BHK,Kolkata,D,Commercial,Affordable,High,15,11,High,0.48,1.45,Basic,0,0.78,117.79
3BHK,Chennai,C,Residential,High-End,Medium,17,46,Medium,0.53,1.08,Basic,1,0.5,198.31
3BHK,Bangalore,B,Commercial,Mid-Range,Medium,9,44,Low,0.24,1.23,Basic,0,0.48,263.67
2BHK,Chennai,A,Residential,Mid-Range,Medium,13,32,Medium,0.39,1.05,Premium,1,0.57,125.12
4BHK,Mumbai,D,Commercial,High-End,Medium,13,23,Low,0.16,1.36,Advanced,1,0.25,562.43
3BHK,Bangalore,C,Residential,Mid-Range,High,2,19,High,0.4,0.96,Basic,1,0.59,142.15
1BHK,Chennai,D,Commercial,Mid-Range,Low,14,39,High,0.25,0.92,Advanced,1,0.86,59.57
2BHK,Hyderabad,C,Residential,Affordable,Medium,15,48,Medium,0.72,1.21,Basic,1,0.24,101.76
2BHK,Mumbai,B,Residential,High-End,Medium,19,14,Low,0.81,0.85,Advanced,1,0.43,233.2
2BHK,Kolkata,A,Residential,Mid-Range,Low,20,19,Medium,0.44,0.89,Premium,0,0.88,95.74
2BHK,Kolkata,B,Residential,Mid-Range,Medium,2,43,Low,0.24,1.01,Basic,1,0.26,82.95
2BHK,Kolkata,C,Residential,Mid-Range,Low,5,2,High,0.53,1.07,Premium,1,0.54,76.46
2BHK,Chennai,C,Industrial,Affordable,High,14,50,Medium,0.84,1.5,Basic,1,0.6,81.97
2BHK,Chennai,D,Commercial,High-End,Medium,11,24,Medium,0.58,1.14,Advanced,1,0.64,151.25
4BHK,Hyderabad,D,Commercial,High-End,Medium,2,11,Medium,0.15,1.15,Basic,1,0.41,340.95
3BHK,Kolkata,B,Residential,Mid-Range,Low,20,31,Medium,0.51,1.0,Basic,1,0.9,125.36
3BHK,Hyderabad,A,Residential,Mid-Range,Medium,3,36,Low,0.16,1.05,Basic,1,0.46,203.13
4BHK,Mumbai,C,Residential,Affordable,High,3,38,High,0.52,1.29,Basic,0,0.74,284.2
3BHK,Hyderabad,C,Commercial,Affordable,Medium,13,5,High,0.34,1.11,Advanced,1,0.35,136.86
3BHK,Chennai,B,Industrial,Mid-Range,High,16,49,Medium,0.53,0.99,Advanced,1,0.55,126.33
1BHK,Kolkata,A,Commercial,Affordable,Medium,16,42,Medium,0.58,1.09,Premium,0,0.73,71.07
